GSM_accession,short_name,tissue,condition
GSM4848442,cv72,cortex,COVID-19
GSM4848443,cv73,cortex,COVID-19
GSM4848444,cv75,cortex,COVID-19
GSM4848445,cv76,cortex,COVID-19
GSM4848447,s01_01,cortex,Control
GSM4848448,s03_03,cortex,Control
GSM4848449,s03_09,cortex,Control
GSM4848450,s04_09,cortex,Control
GSM4848451,c72,choroid_plexus,COVID-19
GSM4848452,c73,choroid_plexus,COVID-19
GSM4848453,c75,choroid_plexus,COVID-19
GSM4848454,c76,choroid_plexus,COVID-19
GSM4848455,c74,choroid_plexus,COVID-19
GSM4848456,c15_12,choroid_plexus,Control
GSM4848457,c15_17,choroid_plexus,Control
GSM4848458,c16_18,choroid_plexus,Control
GSM4848459,c16_23,choroid_plexus,Control
GSM4848460,c16_24,choroid_plexus,Control
GSM4848461,c16_25,choroid_plexus,Control
GSM5171528,CT_01_07,cortex,Control
GSM5171529,CT_02_01,cortex,Control
GSM5171530,CT_02_11,cortex,Control
GSM5171531,CTX_71,cortex,COVID-19
GSM5171532,CTX_78,cortex,COVID-19
GSM5171533,CTX_90,cortex,COVID-19
GSM5171534,CTX_91,cortex,COVID-19
GSM5171535,CP_78,choroid_plexus,COVID-19
GSM5171536,CP_90,choroid_plexus,COVID-19
GSM5171537,CP_91,choroid_plexus,COVID-19
